original_path,new_path,action,bytes,file_count,sha256,verified
results/tests/54/threshold__f0/detections.png,data/tests/detection/otsu/legacy_otsu_defaults__cfgbbaffb3e/frame_screening/video_54/frame_0/threshold__f0/detections.png,move_file,466469,1,0cfc82e492726ba175c4838e3b902ca35bc94938525fed788b32c5d59e19aec0,True
results/tests/54/threshold__f0/summary.json,data/tests/detection/otsu/legacy_otsu_defaults__cfgbbaffb3e/frame_screening/video_54/frame_0/threshold__f0/summary.json,move_file,9850,1,84efd1f2b37e8a71dfb6feaeaa16aa1224b7f4156a9dc35026e148d2f738b13b,True
results/tests/54/threshold__f0__close_iterations=0/00_input.png,data/tests/detection/_shared_inputs/video_54/frame_0.png,deduplicate_identical_input,434581,1,dacd3d4147132016e0421b496ac643bd265b73bb2afda71dd08f9af66a142ffe,True
results/tests/54/threshold__f0__close_iterations=0/detections.csv,data/tests/detection/otsu/legacy_otsu_defaults__cfg4633c2bb/frame_screening/video_54/frame_0/threshold__f0__close_iterations_0/detections.csv,move_file,8703,1,45269153bf959de58894deb6fe53afe8d49ad979dc3c3d68f3a4e19cd4c3da7f,True
results/tests/54/threshold__f0__close_iterations=0/detections.png,data/tests/detection/otsu/legacy_otsu_defaults__cfg4633c2bb/frame_screening/video_54/frame_0/threshold__f0__close_iterations_0/detections.png,move_file,466032,1,5ce8bad5b02e84a658cfa921568dd0966f5d4feebf7d13c91b9c504919683477,True
results/tests/54/threshold__f0__close_iterations=0/summary.json,data/tests/detection/otsu/legacy_otsu_defaults__cfg4633c2bb/frame_screening/video_54/frame_0/threshold__f0__close_iterations_0/summary.json,move_file,10961,1,0fb9ce9b58356ffed2439553a132f16341368b0bada9a3e0f2a2bbed2a716f26,True
results/tests/54/threshold__f0__close_iterations=0_threshold_value=200/00_input.png,data/tests/detection/_shared_inputs/video_54/frame_0.png,deduplicate_identical_input,434581,1,dacd3d4147132016e0421b496ac643bd265b73bb2afda71dd08f9af66a142ffe,True
results/tests/54/threshold__f0__close_iterations=0_threshold_value=200/detections.csv,data/tests/detection/threshold/legacy_t200_c0__cfg1359249f/frame_screening/video_54/frame_0/threshold__f0__close_iterations_0_threshold_value_200/detections.csv,move_file,3868,1,3de40e04b18b2242db41f2a23531f58d8979bbfef3f520d7583b776307ae95ad,True
results/tests/54/threshold__f0__close_iterations=0_threshold_value=200/detections.png,data/tests/detection/threshold/legacy_t200_c0__cfg1359249f/frame_screening/video_54/frame_0/threshold__f0__close_iterations_0_threshold_value_200/detections.png,move_file,464017,1,ddbcb18698bb84834422633170f2d1159303de11af425c5dd5fb0b09f8d9944d,True
results/tests/54/threshold__f0__close_iterations=0_threshold_value=200/summary.json,data/tests/detection/threshold/legacy_t200_c0__cfg1359249f/frame_screening/video_54/frame_0/threshold__f0__close_iterations_0_threshold_value_200/summary.json,move_file,2780,1,c8a516e7425f747b69e4eafa29563f30188e2b88c6882f2368014f87d3e9c241,True
results/tests/54/threshold__f0__close_iterations=2_threshold_value=200/00_input.png,data/tests/detection/_shared_inputs/video_54/frame_0.png,deduplicate_identical_input,434581,1,dacd3d4147132016e0421b496ac643bd265b73bb2afda71dd08f9af66a142ffe,True
results/tests/54/threshold__f0__close_iterations=2_threshold_value=200/detections.csv,data/tests/detection/threshold/legacy_t200_c2__cfg5d0522c8/frame_screening/video_54/frame_0/threshold__f0__close_iterations_2_threshold_value_200/detections.csv,move_file,3804,1,d9d689790945ccb22b5e10fc5c30274e3149cbe568a1f3f5b211876531523147,True
results/tests/54/threshold__f0__close_iterations=2_threshold_value=200/detections.png,data/tests/detection/threshold/legacy_t200_c2__cfg5d0522c8/frame_screening/video_54/frame_0/threshold__f0__close_iterations_2_threshold_value_200/detections.png,move_file,464093,1,2955d816cc47f0090bd69d3cef44be8bead69b4150003ed742d6110b31480903,True
results/tests/54/threshold__f0__close_iterations=2_threshold_value=200/summary.json,data/tests/detection/threshold/legacy_t200_c2__cfg5d0522c8/frame_screening/video_54/frame_0/threshold__f0__close_iterations_2_threshold_value_200/summary.json,move_file,2703,1,d44e607ffd994916cf056e81971a730f6bd1e3c4a6c11103607dcb23378ea6a3,True
results/tests/54/threshold__f0__morph_iterations=2/00_input.png,data/tests/detection/_shared_inputs/video_54/frame_0.png,deduplicate_identical_input,434581,1,dacd3d4147132016e0421b496ac643bd265b73bb2afda71dd08f9af66a142ffe,True
results/tests/54/threshold__f0__morph_iterations=2/detections.csv,data/tests/detection/otsu/legacy_otsu_defaults__cfg76e32ed9/frame_screening/video_54/frame_0/threshold__f0__morph_iterations_2/detections.csv,move_file,6477,1,6891c0d0321bbcd825a1794cf55ef198ebd64a9d3ffcdcf5ad801073003622b8,True
results/tests/54/threshold__f0__morph_iterations=2/detections.png,data/tests/detection/otsu/legacy_otsu_defaults__cfg76e32ed9/frame_screening/video_54/frame_0/threshold__f0__morph_iterations_2/detections.png,move_file,466242,1,9e15d049b17c0cef185b4c80780ab1d783d4f801a8c01bdc4edf3ddfbf52dd1a,True
results/tests/54/threshold__f0__morph_iterations=2/summary.json,data/tests/detection/otsu/legacy_otsu_defaults__cfg76e32ed9/frame_screening/video_54/frame_0/threshold__f0__morph_iterations_2/summary.json,move_file,7179,1,28f508df26e5fadc84a2d932d58e33328a248c112a759ef63ee82025358e44ac,True
results/tests/54/threshold__f0__morph_iterations=2_threshold_value=200/00_input.png,data/tests/detection/_shared_inputs/video_54/frame_0.png,deduplicate_identical_input,434581,1,dacd3d4147132016e0421b496ac643bd265b73bb2afda71dd08f9af66a142ffe,True
results/tests/54/threshold__f0__morph_iterations=2_threshold_value=200/detections.csv,data/tests/detection/threshold/legacy_t200_o2__cfga13617b6/frame_screening/video_54/frame_0/threshold__f0__morph_iterations_2_threshold_value_200/detections.csv,move_file,2932,1,95862e030a9c1261fbab2fe286e5a5b7d0427562cb84aabc3bf92b02f4dbd32b,True
results/tests/54/threshold__f0__morph_iterations=2_threshold_value=200/detections.png,data/tests/detection/threshold/legacy_t200_o2__cfga13617b6/frame_screening/video_54/frame_0/threshold__f0__morph_iterations_2_threshold_value_200/detections.png,move_file,464618,1,fe437df203617dfe8d8429b5e00396e400073cefb08c4f39885ed5b333ccbd7a,True
results/tests/54/threshold__f0__morph_iterations=2_threshold_value=200/summary.json,data/tests/detection/threshold/legacy_t200_o2__cfga13617b6/frame_screening/video_54/frame_0/threshold__f0__morph_iterations_2_threshold_value_200/summary.json,move_file,1185,1,7bf670d5932b231df4f47db076e2653a00c30520c4d95bdc5b5eae490c352f8a,True
results/tests/54/threshold__f0__threshold_value=180/00_input.png,data/tests/detection/_shared_inputs/video_54/frame_0.png,deduplicate_identical_input,434581,1,dacd3d4147132016e0421b496ac643bd265b73bb2afda71dd08f9af66a142ffe,True
results/tests/54/threshold__f0__threshold_value=180/detections.csv,data/tests/detection/threshold/legacy_t180__cfg1fd3f76e/frame_screening/video_54/frame_0/threshold__f0__threshold_value_180/detections.csv,move_file,4181,1,e4aea30326a5b2c7b68905d5b4ae6e435e48af1fd156ebffda0bdcc50fd4a159,True
results/tests/54/threshold__f0__threshold_value=180/detections.png,data/tests/detection/threshold/legacy_t180__cfg1fd3f76e/frame_screening/video_54/frame_0/threshold__f0__threshold_value_180/detections.png,move_file,463770,1,c18e830f94892bf9a5fc852d4e329bb348ce7f75c7e844e4740a7387db315a22,True
results/tests/54/threshold__f0__threshold_value=180/summary.json,data/tests/detection/threshold/legacy_t180__cfg1fd3f76e/frame_screening/video_54/frame_0/threshold__f0__threshold_value_180/summary.json,move_file,3307,1,97c87c18411f217d2b5b0a1ebc209c89f3e1a56c5a89ee54c7990746c7be52fe,True
results/tests/54/threshold__f0__threshold_value=190/00_input.png,data/tests/detection/_shared_inputs/video_54/frame_0.png,deduplicate_identical_input,434581,1,dacd3d4147132016e0421b496ac643bd265b73bb2afda71dd08f9af66a142ffe,True
results/tests/54/threshold__f0__threshold_value=190/detections.csv,data/tests/detection/threshold/legacy_t190__cfgfeeed012/frame_screening/video_54/frame_0/threshold__f0__threshold_value_190/detections.csv,move_file,3930,1,f8a1d994b892fa24008226f408bf2073d75a5d6164561357774532cd262eade7,True
results/tests/54/threshold__f0__threshold_value=190/detections.png,data/tests/detection/threshold/legacy_t190__cfgfeeed012/frame_screening/video_54/frame_0/threshold__f0__threshold_value_190/detections.png,move_file,463960,1,cb319a0a4f406d8ca83fb3f3dcaac9124fa74d3438d07886d0ce22a3673b6cd6,True
results/tests/54/threshold__f0__threshold_value=190/summary.json,data/tests/detection/threshold/legacy_t190__cfgfeeed012/frame_screening/video_54/frame_0/threshold__f0__threshold_value_190/summary.json,move_file,2870,1,e848443f622ac01f774c00207dc595a68fa897041f2f2d5a5bd0fd23e96ec67d,True
results/tests/54/threshold__f0__threshold_value=200/00_input.png,data/tests/detection/_shared_inputs/video_54/frame_0.png,deduplicate_identical_input,434581,1,dacd3d4147132016e0421b496ac643bd265b73bb2afda71dd08f9af66a142ffe,True
results/tests/54/threshold__f0__threshold_value=200/detections.csv,data/tests/detection/threshold/legacy_t200__cfg1f8f28ac/frame_screening/video_54/frame_0/threshold__f0__threshold_value_200/detections.csv,move_file,3868,1,3de40e04b18b2242db41f2a23531f58d8979bbfef3f520d7583b776307ae95ad,True
results/tests/54/threshold__f0__threshold_value=200/detections.png,data/tests/detection/threshold/legacy_t200__cfg1f8f28ac/frame_screening/video_54/frame_0/threshold__f0__threshold_value_200/detections.png,move_file,464017,1,ddbcb18698bb84834422633170f2d1159303de11af425c5dd5fb0b09f8d9944d,True
results/tests/54/threshold__f0__threshold_value=200/summary.json,data/tests/detection/threshold/legacy_t200__cfg1f8f28ac/frame_screening/video_54/frame_0/threshold__f0__threshold_value_200/summary.json,move_file,2765,1,0ea3279776afc03801778d4c46d3b8c6b474956077d70c658846f08b8cacc467,True
results/tests/54/threshold__f0__threshold_value=210/00_input.png,data/tests/detection/_shared_inputs/video_54/frame_0.png,deduplicate_identical_input,434581,1,dacd3d4147132016e0421b496ac643bd265b73bb2afda71dd08f9af66a142ffe,True
results/tests/54/threshold__f0__threshold_value=210/detections.csv,data/tests/detection/threshold/legacy_t210__cfg4310fa76/frame_screening/video_54/frame_0/threshold__f0__threshold_value_210/detections.csv,move_file,3494,1,0ad8149f4e55a5de7f3ee4c3d00151624912b7814c36ebb242ccd44f1c02a017,True
results/tests/54/threshold__f0__threshold_value=210/detections.png,data/tests/detection/threshold/legacy_t210__cfg4310fa76/frame_screening/video_54/frame_0/threshold__f0__threshold_value_210/detections.png,move_file,464199,1,23d0274b6f339fc12dc63ae0d4f7e36eb8673799f0df946f937b5e495af9b350,True
results/tests/54/threshold__f0__threshold_value=210/summary.json,data/tests/detection/threshold/legacy_t210__cfg4310fa76/frame_screening/video_54/frame_0/threshold__f0__threshold_value_210/summary.json,move_file,2116,1,16b65f652b81c304dae0540a92b5ca8a11e10cbbc063945f5be94f2b66b67666,True
results/tests/54/threshold__f100/00_input.png,data/tests/detection/_shared_inputs/video_54/frame_100.png,move_file,386967,1,2afcfd8c2bdb659b7d5884d1ba3c4123482fc84fd96bbe94723d31d49975ad2a,True
results/tests/54/threshold__f100/detections.csv,data/tests/detection/otsu/legacy_otsu_defaults__cfgbbaffb3e/frame_screening/video_54/frame_100/threshold__f100/detections.csv,move_file,9001,1,d2667532a5d37603ea4746d9f0a3dec7dba2b8c4ac39d122076257586a9cee75,True
results/tests/54/threshold__f100/detections.png,data/tests/detection/otsu/legacy_otsu_defaults__cfgbbaffb3e/frame_screening/video_54/frame_100/threshold__f100/detections.png,move_file,419104,1,f3fde6d4ee08850969d3f16d172d11d0ce3b71be1a9afa16bdf78c675295b008,True
results/tests/54/threshold__f100/summary.json,data/tests/detection/otsu/legacy_otsu_defaults__cfgbbaffb3e/frame_screening/video_54/frame_100/threshold__f100/summary.json,move_file,10614,1,b6ad23ff3f17231c05a885f08d5e5d364a0891375a76d2109df50e854a2ee732,True
results/tests/54/threshold__f100__close_iterations=0/00_input.png,data/tests/detection/_shared_inputs/video_54/frame_100.png,deduplicate_identical_input,386967,1,2afcfd8c2bdb659b7d5884d1ba3c4123482fc84fd96bbe94723d31d49975ad2a,True
results/tests/54/threshold__f100__close_iterations=0/detections.csv,data/tests/detection/otsu/legacy_otsu_defaults__cfg4633c2bb/frame_screening/video_54/frame_100/threshold__f100__close_iterations_0/detections.csv,move_file,9592,1,482148c8f32c112c17e15584c48d01c63b586ada1f3eb26269eeb48fbe59e8b7,True
results/tests/54/threshold__f100__close_iterations=0/detections.png,data/tests/detection/otsu/legacy_otsu_defaults__cfg4633c2bb/frame_screening/video_54/frame_100/threshold__f100__close_iterations_0/detections.png,move_file,418868,1,ff2e77e27f615e47f6de7c165d99c5ecdb6e79c24b8ec2d0da1f8c3db2014a90,True
results/tests/54/threshold__f100__close_iterations=0/summary.json,data/tests/detection/otsu/legacy_otsu_defaults__cfg4633c2bb/frame_screening/video_54/frame_100/threshold__f100__close_iterations_0/summary.json,move_file,11614,1,59328e1db1187f5cb4dc63590c85e618106d6fb916f8a0799f3fd49ab8bb44af,True
results/tests/54/threshold__f100__close_iterations=0_threshold_value=200/00_input.png,data/tests/detection/_shared_inputs/video_54/frame_100.png,deduplicate_identical_input,386967,1,2afcfd8c2bdb659b7d5884d1ba3c4123482fc84fd96bbe94723d31d49975ad2a,True
results/tests/54/threshold__f100__close_iterations=0_threshold_value=200/detections.csv,data/tests/detection/threshold/legacy_t200_c0__cfg1359249f/frame_screening/video_54/frame_100/threshold__f100__close_iterations_0_threshold_value_200/detections.csv,move_file,4226,1,a4227c0018f41b55dd4c8afba32e94757fd320984f3b8532c2d9e328cc004b1c,True
results/tests/54/threshold__f100__close_iterations=0_threshold_value=200/detections.png,data/tests/detection/threshold/legacy_t200_c0__cfg1359249f/frame_screening/video_54/frame_100/threshold__f100__close_iterations_0_threshold_value_200/detections.png,move_file,417320,1,0a5fccce31d7530d5913bdce0f880ceb12746e0b04d2006417c6e00ad34e86e2,True
results/tests/54/threshold__f100__close_iterations=0_threshold_value=200/summary.json,data/tests/detection/threshold/legacy_t200_c0__cfg1359249f/frame_screening/video_54/frame_100/threshold__f100__close_iterations_0_threshold_value_200/summary.json,move_file,2786,1,1fd3b5b457f51fc986b0c5f30797f7c8f8af7a1fede7f68bb99b74bcd72f24d7,True
results/tests/54/threshold__f100__close_iterations=2_threshold_value=200/00_input.png,data/tests/detection/_shared_inputs/video_54/frame_100.png,deduplicate_identical_input,386967,1,2afcfd8c2bdb659b7d5884d1ba3c4123482fc84fd96bbe94723d31d49975ad2a,True
results/tests/54/threshold__f100__close_iterations=2_threshold_value=200/detections.csv,data/tests/detection/threshold/legacy_t200_c2__cfg5d0522c8/frame_screening/video_54/frame_100/threshold__f100__close_iterations_2_threshold_value_200/detections.csv,move_file,4226,1,a4227c0018f41b55dd4c8afba32e94757fd320984f3b8532c2d9e328cc004b1c,True
results/tests/54/threshold__f100__close_iterations=2_threshold_value=200/detections.png,data/tests/detection/threshold/legacy_t200_c2__cfg5d0522c8/frame_screening/video_54/frame_100/threshold__f100__close_iterations_2_threshold_value_200/detections.png,move_file,417320,1,0a5fccce31d7530d5913bdce0f880ceb12746e0b04d2006417c6e00ad34e86e2,True
results/tests/54/threshold__f100__close_iterations=2_threshold_value=200/summary.json,data/tests/detection/threshold/legacy_t200_c2__cfg5d0522c8/frame_screening/video_54/frame_100/threshold__f100__close_iterations_2_threshold_value_200/summary.json,move_file,2818,1,fc268b510ee444a41636c1d70973ade8f547189192cb256d7c492f0e3f9941ae,True
results/tests/54/threshold__f100__morph_iterations=2/00_input.png,data/tests/detection/_shared_inputs/video_54/frame_100.png,deduplicate_identical_input,386967,1,2afcfd8c2bdb659b7d5884d1ba3c4123482fc84fd96bbe94723d31d49975ad2a,True
results/tests/54/threshold__f100__morph_iterations=2/detections.csv,data/tests/detection/otsu/legacy_otsu_defaults__cfg76e32ed9/frame_screening/video_54/frame_100/threshold__f100__morph_iterations_2/detections.csv,move_file,6373,1,f1d321f692444cb4cec0121aa82917bf259560fa81af2abbf841ee4c74c52661,True
results/tests/54/threshold__f100__morph_iterations=2/detections.png,data/tests/detection/otsu/legacy_otsu_defaults__cfg76e32ed9/frame_screening/video_54/frame_100/threshold__f100__morph_iterations_2/detections.png,move_file,419452,1,023f4a1aa836b010780c54c686fc0d75117f752d75c8105a317b5f983cdcf4bd,True
results/tests/54/threshold__f100__morph_iterations=2/summary.json,data/tests/detection/otsu/legacy_otsu_defaults__cfg76e32ed9/frame_screening/video_54/frame_100/threshold__f100__morph_iterations_2/summary.json,move_file,6305,1,1444ef622b1841b19162001d2db9e8b3922a76d6aebc78258ff7a03f0c1a9d2a,True
